hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_opportunity_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,cache_capacity,cache_current_size,cache_utilization,cache_total_requests,cache_total_hits,cache_total_misses,cache_hit_rate,cache_miss_rate,cache_evictions,cache_cic_opportunities,cache_cic_rate,cache_noma_paired_hits,cache_noma_awareness_enabled,policy,run,seed
0.69,0.31,0.6451612903225806,0.4838709677419355,1.0,0.0,0.0,7.020130105363969,45.29116197009012,0.022079362871290233,200,138,31,40,0,200,200,1.0,5415,2985,2430,0.5512465373961218,0.44875346260387816,0,0,0.0,0,True,topk,20,2045
0.675,0.325,0.3181818181818182,0.7575757575757576,1.0,0.0,0.0,6.939446843167291,42.05725359495328,0.023777111307144327,200,135,33,21,0,200,200,1.0,5680,3120,2560,0.5492957746478874,0.45070422535211263,0,0,0.0,0,True,topk,21,2046
0.75,0.25,0.88,0.24,1.0,0.0,0.0,7.555930412081773,60.447443296654185,0.016543296878452938,200,150,25,44,0,200,200,1.0,5930,3270,2660,0.551433389544688,0.448566610455312,0,0,0.0,0,True,topk,22,2047
0.72,0.28,0.6785714285714286,0.5,1.0,0.0,0.0,7.2943361041550245,52.10240074396446,0.0191929735620837,200,144,28,38,0,200,200,1.0,6186,3414,2772,0.5518913676042677,0.4481086323957323,0,0,0.0,0,True,topk,23,2048
0.765,0.235,0.7916666666666666,0.375,1.0,0.0,0.0,7.719814869831608,64.33179058193006,0.01554441421502865,200,153,24,38,0,200,200,1.0,6433,3567,2866,0.55448468832582,0.44551531167418,0,0,0.0,0,True,topk,24,2049
0.665,0.335,0.6617647058823529,0.38235294117647056,1.0,0.0,0.0,6.759696780145509,39.762922236150054,0.025149057055239774,200,133,34,45,0,200,200,1.0,6700,3700,3000,0.5522388059701493,0.4477611940298507,0,0,0.0,0,True,topk,25,2050
0.64,0.36,0.7083333333333334,0.4722222222222222,1.0,0.0,0.0,6.519688571393359,36.22049206329644,0.02760868069523928,200,128,36,51,0,200,200,1.0,6972,3828,3144,0.5490533562822719,0.4509466437177281,0,0,0.0,0,True,topk,26,2051
0.68,0.32,0.4375,0.59375,1.0,0.0,0.0,6.963894540542101,43.52434087838813,0.02297564948298957,200,136,32,28,0,200,200,1.0,7236,3964,3272,0.5478164731896075,0.45218352681039253,0,0,0.0,0,True,topk,27,2052
0.71,0.29,0.6379310344827587,0.4482758620689655,1.0,0.0,0.0,7.208447574862069,49.71343155077289,0.020115288138552432,200,142,29,37,0,200,200,1.0,7494,4106,3388,0.5479049906591941,0.45209500934080593,0,0,0.0,0,True,topk,28,2053
0.72,0.28,0.8571428571428571,0.2857142857142857,1.0,0.0,0.0,7.273415154046943,51.95296538604959,0.019248179436327614,200,144,28,48,0,200,200,1.0,7750,4250,3500,0.5483870967741935,0.4516129032258065,0,0,0.0,0,True,topk,29,2054
0.735,0.265,0.5925925925925926,0.4074074074074074,1.0,0.0,0.0,7.455999602797606,55.229626687389676,0.01810622414053589,200,147,27,32,0,200,200,1.0,8003,4397,3606,0.5494189678870424,0.45058103211295764,0,0,0.0,0,True,topk,30,2055
0.685,0.315,0.421875,0.625,1.0,0.0,0.0,6.981556709579029,43.63472943486893,0.022917524938309584,200,137,32,27,0,200,200,1.0,8266,4534,3732,0.5485119767723203,0.45148802322767967,0,0,0.0,0,True,topk,31,2056
0.725,0.275,0.8571428571428571,0.25,1.0,0.0,0.0,7.315357900071608,52.252556429082915,0.019137819627202325,200,145,28,48,0,200,200,1.0,8521,4679,3842,0.5491139537612956,0.45088604623870443,0,0,0.0,0,True,topk,32,2057
0.67,0.33,0.6515151515151515,0.5151515151515151,1.0,0.0,0.0,6.816985984765257,41.31506657433489,0.02420424515595975,200,134,33,43,0,200,200,1.0,8787,4813,3974,0.5477409809946512,0.4522590190053488,0,0,0.0,0,True,topk,33,2058
0.69,0.31,0.5645161290322581,0.45161290322580644,1.0,0.0,0.0,7.022519453881647,45.30657712181708,0.022071850568434505,200,138,31,35,0,200,200,1.0,9049,4951,4098,0.5471322798099237,0.45286772019007626,0,0,0.0,0,True,topk,34,2059
0.71,0.29,0.6379310344827587,0.3793103448275862,1.0,0.0,0.0,7.2123587432470595,49.74040512584179,0.020104379879295895,200,142,29,37,0,200,200,1.0,9307,5093,4214,0.5472225206833566,0.45277747931664336,0,0,0.0,0,True,topk,35,2060
0.73,0.27,0.4444444444444444,0.5925925925925926,1.0,0.0,0.0,7.495743736227142,55.52402767575661,0.01801022083339658,200,146,27,24,0,200,200,1.0,9561,5239,4322,0.5479552348080745,0.4520447651919255,0,0,0.0,0,True,topk,36,2061
0.69,0.31,0.8064516129032258,0.3870967741935484,1.0,0.0,0.0,6.990065615331246,45.0971975182661,0.02217432689902652,200,138,31,50,0,200,200,1.0,9823,5377,4446,0.5473887814313346,0.4526112185686654,0,0,0.0,0,True,topk,37,2062
0.72,0.28,0.7142857142857143,0.42857142857142855,1.0,0.0,0.0,7.294320139105956,52.10228670789969,0.019193015569667526,200,144,28,40,0,200,200,1.0,10079,5521,4558,0.5477725964877468,0.4522274035122532,0,0,0.0,0,True,topk,38,2063
0.75,0.25,0.9,0.2,1.0,0.0,0.0,7.561233971838802,60.489871774710416,0.01653169316880714,200,150,25,45,0,200,200,1.0,10329,5671,4658,0.5490366928066609,0.4509633071933391,0,0,0.0,0,True,topk,39,2064
