hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,phase,policy,run,capacity,current_size,utilization,total_hits,total_misses,evictions,cic_opportunities,cic_rate,noma_paired_hits,noma_awareness_enabled,training_step,epsilon,eval_mode,avg_episode_reward,avg_loss,replay_buffer_size,use_neural_network,cic_count,sic_count,warm_up_steps,beta,action_dim,state_dim
0.6275,0.3725,0.1342281879194631,0.8657718120805369,0.0,0.7751677852348994,7.268646182877642,19.513144115107764,0.10249501506277144,800,502,298,40,298,eval,topk,20,,,,,,,,,,,,,,,,,,,,,,,
0.64375,0.35625,0.14035087719298245,0.8596491228070176,0.0,0.47368421052631576,7.322743516027518,20.555069518673733,0.09729959794993899,800,515,285,40,285,eval,topk,21,,,,,,,,,,,,,,,,,,,,,,,
0.62,0.38,0.06578947368421052,0.9342105263157895,0.0,0.9342105263157895,7.0955598928759,18.672526033883948,0.10710923612427779,800,496,304,20,304,eval,topk,22,,,,,,,,,,,,,,,,,,,,,,,
0.6375,0.3625,0.0,1.0,0.0,0.4827586206896552,6.975369687564355,19.242399138108567,0.10393714347391872,800,510,290,0,290,eval,topk,23,,,,,,,,,,,,,,,,,,,,,,,
0.63375,0.36625,0.08191126279863481,0.9180887372013652,0.0,0.6279863481228669,6.764457086406426,18.469507403157476,0.10828659131743208,800,507,293,24,293,eval,topk,24,,,,,,,,,,,,,,,,,,,,,,,
0.6725,0.3275,0.1297709923664122,0.8702290076335878,0.0,0.6946564885496184,7.437933201577561,22.71124641703072,0.08806209766189843,800,538,262,34,262,eval,topk,25,,,,,,,,,,,,,,,,,,,,,,,
0.65375,0.34625,0.039711191335740074,0.9602888086642599,0.0,0.51985559566787,7.151373377301118,20.653785927223446,0.09683454680160261,800,523,277,11,277,eval,topk,26,,,,,,,,,,,,,,,,,,,,,,,
0.6175,0.3825,0.11437908496732026,0.8856209150326797,0.0,0.6274509803921569,6.841318164521053,17.88579912293086,0.11182055586411337,800,494,306,35,306,eval,topk,27,,,,,,,,,,,,,,,,,,,,,,,
0.62,0.38,0.0,1.0,0.0,0.5888157894736842,7.08613860541025,18.647733172132238,0.10725164187724776,800,496,304,0,304,eval,topk,28,,,,,,,,,,,,,,,,,,,,,,,
0.65,0.35,0.15,0.85,0.0,0.6142857142857143,7.482869522029493,21.379627205798553,0.09354700064449968,800,520,280,42,280,eval,topk,29,,,,,,,,,,,,,,,,,,,,,,,
0.665,0.335,0.041044776119402986,0.9589552238805971,0.0,0.832089552238806,7.65057176351701,22.83752765228958,0.0875751539505849,800,532,268,11,268,eval,topk,30,,,,,,,,,,,,,,,,,,,,,,,
0.645,0.355,0.04225352112676056,0.9577464788732394,0.0,0.7323943661971831,7.165625154373656,20.184859589784946,0.09908416707600731,800,516,284,12,284,eval,topk,31,,,,,,,,,,,,,,,,,,,,,,,
0.645,0.355,0.056338028169014086,0.9436619718309859,0.0,0.5845070422535211,7.4086198174522515,20.869351598457047,0.0958343142844873,800,516,284,16,284,eval,topk,32,,,,,,,,,,,,,,,,,,,,,,,
0.64,0.36,0.09027777777777778,0.9097222222222222,0.0,0.7569444444444444,7.347107512455117,20.408631979041992,0.0979977492883324,800,512,288,26,288,eval,topk,33,,,,,,,,,,,,,,,,,,,,,,,
0.63375,0.36625,0.06484641638225255,0.9351535836177475,0.0,0.6757679180887372,7.144473426847959,19.50709468081354,0.10252680026037533,800,507,293,19,293,eval,topk,34,,,,,,,,,,,,,,,,,,,,,,,
0.63625,0.36375,0.10652920962199312,0.8934707903780069,0.0,0.5395189003436426,7.120336590348277,19.574808495802824,0.10217213621419768,800,509,291,31,291,eval,topk,35,,,,,,,,,,,,,,,,,,,,,,,
0.61375,0.38625,0.13915857605177995,0.86084142394822,0.0,0.7766990291262136,6.939982811606162,17.967593039757055,0.11131151487984964,800,491,309,43,309,eval,topk,36,,,,,,,,,,,,,,,,,,,,,,,
0.625,0.375,0.03666666666666667,0.9633333333333334,0.0,0.7333333333333333,7.638602325772659,20.369606202060424,0.0981855014849377,800,500,300,11,300,eval,topk,37,,,,,,,,,,,,,,,,,,,,,,,
