hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,phase,policy,run,capacity,current_size,utilization,total_hits,total_misses,evictions,cic_opportunities,cic_rate,noma_paired_hits,noma_awareness_enabled,training_step,epsilon,eval_mode,avg_episode_reward,avg_loss,replay_buffer_size,use_neural_network,cic_count,sic_count,warm_up_steps,beta
0.745,0.255,0.19230769230769232,0.9230769230769231,1.0,0.0,7.7230975446371595,59.408442651055076,0.033665248755085496,200,149,26,10,0,eval,topk,41,,,,,,,,,,,,,,,,,,,,,
0.72,0.28,0.32142857142857145,0.75,1.0,0.0,7.43542956271721,53.110211162265784,0.03765754185931344,200,144,28,18,0,eval,topk,42,,,,,,,,,,,,,,,,,,,,,
0.675,0.325,0.3787878787878788,0.7575757575757576,1.0,0.0,6.978534960438363,42.294151275384024,0.047287862262034255,200,135,33,25,0,eval,topk,43,,,,,,,,,,,,,,,,,,,,,
0.695,0.305,0.1935483870967742,0.967741935483871,1.0,0.0,7.31463648922892,47.19120315631561,0.04238078002324337,200,139,31,12,0,eval,topk,44,,,,,,,,,,,,,,,,,,,,,
0.73,0.27,0.07407407407407407,1.0,1.0,0.0,7.745620152748972,57.374964094436834,0.034858409614132085,200,146,27,4,0,eval,topk,45,,,,,,,,,,,,,,,,,,,,,
0.76,0.24,0.0625,1.0,1.0,0.0,7.979729832331714,66.49774860276428,0.030076206217857743,200,152,24,3,0,eval,topk,46,,,,,,,,,,,,,,,,,,,,,
0.765,0.235,0.22916666666666666,0.8333333333333334,1.0,0.0,7.881237380218348,65.67697816848623,0.030452070965708032,200,153,24,11,0,eval,topk,47,,,,,,,,,,,,,,,,,,,,,
0.68,0.32,0.203125,0.9375,1.0,0.0,7.275822796515867,45.47389247822417,0.0439812800489364,200,136,32,13,0,eval,topk,48,,,,,,,,,,,,,,,,,,,,,
0.76,0.24,0.3125,0.8333333333333334,1.0,0.0,7.807912181239965,65.06593484366637,0.030738050637486282,200,152,24,15,0,eval,topk,49,,,,,,,,,,,,,,,,,,,,,
0.735,0.265,0.4444444444444444,0.7037037037037037,1.0,0.0,7.536955717970265,55.82930161459456,0.03582348233202996,200,147,27,24,0,eval,topk,50,,,,,,,,,,,,,,,,,,,,,
0.775,0.225,0.32608695652173914,0.7391304347826086,1.0,0.0,7.935994302081124,69.00864610505324,0.028981875647224837,200,155,23,15,0,eval,topk,51,,,,,,,,,,,,,,,,,,,,,
0.735,0.265,0.3148148148148148,0.8148148148148148,1.0,0.0,7.555461159305175,55.966378957816104,0.035735740586459466,200,147,27,17,0,eval,topk,52,,,,,,,,,,,,,,,,,,,,,
0.725,0.275,0.19642857142857142,0.8214285714285714,1.0,0.0,7.474358670034142,53.38827621452958,0.03746140804328313,200,145,28,11,0,eval,topk,53,,,,,,,,,,,,,,,,,,,,,
0.785,0.215,0.29545454545454547,0.7727272727272727,1.0,0.0,7.9868191750682715,72.6074470460752,0.027545383860292472,200,157,22,13,0,eval,topk,54,,,,,,,,,,,,,,,,,,,,,
0.705,0.295,0.25,0.8333333333333334,1.0,0.0,7.297877112378139,48.65251408252093,0.04110784484040727,200,141,30,15,0,eval,topk,55,,,,,,,,,,,,,,,,,,,,,
0.7,0.3,0.25,0.8,1.0,0.0,7.23019744628011,48.20131630853407,0.041492642798344054,200,140,30,15,0,eval,topk,56,,,,,,,,,,,,,,,,,,,,,
0.69,0.31,0.25806451612903225,0.8709677419354839,1.0,0.0,7.1927079488877075,46.40456741217876,0.043099205779366996,200,138,31,16,0,eval,topk,57,,,,,,,,,,,,,,,,,,,,,
0.675,0.325,0.21212121212121213,0.9090909090909091,1.0,0.0,7.147612762992107,43.3188652302552,0.046169261114511834,200,135,33,14,0,eval,topk,58,,,,,,,,,,,,,,,,,,,,,
0.705,0.295,0.36666666666666664,0.7333333333333333,1.0,0.0,7.267661033082159,48.45107355388106,0.04127875510902471,200,141,30,22,0,eval,topk,59,,,,,,,,,,,,,,,,,,,,,
0.725,0.275,0.23214285714285715,0.8928571428571429,1.0,0.0,7.494128268121673,53.52948762944052,0.03736258441039189,200,145,28,13,0,eval,topk,60,,,,,,,,,,,,,,,,,,,,,
0.735,0.265,0.25925925925925924,0.8518518518518519,1.0,0.0,7.656136910743725,56.71212526476833,0.035265827028395175,200,147,27,14,0,eval,topk,61,,,,,,,,,,,,,,,,,,,,,
0.71,0.29,0.1896551724137931,0.9310344827586207,1.0,0.0,7.529415567282774,51.92700391229499,0.03851560554847361,200,142,29,11,0,eval,topk,62,,,,,,,,,,,,,,,,,,,,,
0.735,0.265,0.2777777777777778,0.7777777777777778,1.0,0.0,7.644880734217217,56.628746179386795,0.03531775175922952,200,147,27,15,0,eval,topk,63,,,,,,,,,,,,,,,,,,,,,
0.695,0.305,0.3064516129032258,0.8387096774193549,1.0,0.0,7.3453259487064,47.389199669073555,0.042203709156650115,200,139,31,19,0,eval,topk,64,,,,,,,,,,,,,,,,,,,,,
0.65,0.35,0.21428571428571427,0.8571428571428571,1.0,0.0,6.8112097585435905,38.921198620249086,0.05138587892715829,200,130,35,15,0,eval,topk,65,,,,,,,,,,,,,,,,,,,,,
0.705,0.295,0.2,0.9,1.0,0.0,7.321958014791587,48.81305343194391,0.04097264685128616,200,141,30,12,0,eval,topk,66,,,,,,,,,,,,,,,,,,,,,
0.695,0.305,0.14516129032258066,0.967741935483871,1.0,0.0,7.281596622288929,46.978042724444705,0.0425730806140911,200,139,31,9,0,eval,topk,67,,,,,,,,,,,,,,,,,,,,,
0.68,0.32,0.21875,0.90625,1.0,0.0,7.134223744421511,44.58889840263444,0.04485421420238169,200,136,32,14,0,eval,topk,68,,,,,,,,,,,,,,,,,,,,,
0.78,0.22,0.20454545454545456,0.9545454545454546,1.0,0.0,8.052748309689386,73.20680281535806,0.0273198654098362,200,156,22,9,0,eval,topk,69,,,,,,,,,,,,,,,,,,,,,
0.725,0.275,0.17857142857142858,0.9642857142857143,1.0,0.0,7.620967008059324,54.43547862899517,0.036740744278763365,200,145,28,10,0,eval,topk,70,,,,,,,,,,,,,,,,,,,,,
0.75,0.25,0.12,1.0,1.0,0.0,7.7866978452960565,62.29358276236845,0.03210603582762942,200,150,25,6,0,eval,topk,71,,,,,,,,,,,,,,,,,,,,,
0.62,0.38,0.25,0.868421052631579,1.0,0.0,6.597239863810516,34.722315072686925,0.057599845972633,200,124,38,19,0,eval,topk,72,,,,,,,,,,,,,,,,,,,,,
0.72,0.28,0.23214285714285715,0.8928571428571429,1.0,0.0,7.495138576076439,53.53670411483171,0.037357548117085596,200,144,28,13,0,eval,topk,73,,,,,,,,,,,,,,,,,,,,,
0.725,0.275,0.35714285714285715,0.8571428571428571,1.0,0.0,7.500526856161388,53.5751918297242,0.03733071094465731,200,145,28,20,0,eval,topk,74,,,,,,,,,,,,,,,,,,,,,
0.67,0.33,0.25757575757575757,0.8181818181818182,1.0,0.0,7.011734835129116,42.49536263714616,0.04706395888599277,200,134,33,17,0,eval,topk,75,,,,,,,,,,,,,,,,,,,,,
0.755,0.245,0.22,0.92,1.0,0.0,7.79803632295725,62.384290583658,0.03205935310457652,200,151,25,11,0,eval,topk,76,,,,,,,,,,,,,,,,,,,,,
0.675,0.325,0.16666666666666666,0.9090909090909091,1.0,0.0,7.083551925905869,42.93061773276285,0.046586797619585237,200,135,33,11,0,eval,topk,77,,,,,,,,,,,,,,,,,,,,,
