snr_db,avg_sum_rate_per_request,sem_sum_rate_per_request,avg_sum_rate_tx_only,sem_sum_rate_tx_only,avg_rate_weak,sem_rate_weak,avg_rate_strong,sem_rate_strong,outage_prob_weak,sem_outage_weak,outage_prob_strong,sem_outage_strong,avg_ber_weak,sem_ber_weak,avg_ber_strong,sem_ber_strong,cache_hits_weak,cache_hits_strong,cache_hit_rate_fraction
10,3.762833425238028,0.0198281133380424,3.762833425238028,0.0198281133380424,0.2243988083309697,0.011740378529543075,3.5384346169070584,0.027993644686650804,0.775,0.013211720158614833,0.002,0.0014135055705578234,0.38228461402738423,0.005271758498596514,0.002859018233360254,0.00045514876338308163,0,0,0.0
12,4.308676487330335,0.022709570881157104,4.308676487330335,0.022709570881157104,0.2606118387317657,0.013479535742469139,4.04806464859857,0.03258972912466752,0.742,0.013842963108656603,0.0,0.0,0.37421719730751307,0.0055549355510538185,0.0020255502018826227,0.0003811518398642743,0,0,0.0
14,4.878453061523017,0.025386943264357382,4.878453061523017,0.025386943264357382,0.30235422826105707,0.015109181392408353,4.57609883326196,0.037209919507463905,0.709,0.014370995982378034,0.0,0.0,0.36520710975527654,0.005861390431120769,0.0008198698164684815,0.0001864840153364195,0,0,0.0
16,5.387889550056006,0.029718407293896472,5.387889550056006,0.029718407293896472,0.3523021689384316,0.016734015190187582,5.035587381117574,0.04377011442940517,0.675,0.014818724459095479,0.0,0.0,0.3505672291642074,0.0060923339482059,0.0010200948508399092,0.00027255107649244785,0,0,0.0
18,5.895766733432531,0.03576962653344954,5.895766733432531,0.03576962653344954,0.36461485326785187,0.01761220174474216,5.53115188016468,0.05080943752311111,0.676,0.014806864733738987,0.0,0.0,0.35078487371967115,0.006157636962189046,0.0009446352366382884,0.00022734466051359942,0,0,0.0
20,6.43073926184709,0.04031898714051481,6.43073926184709,0.04031898714051481,0.3646862080579471,0.018522025536658195,6.066053053789143,0.05657606952001734,0.685,0.014696631960792617,0.0,0.0,0.3555741386954751,0.0061350369274419,0.0004316055260880959,0.00010384435557895425,0,0,0.0
22,6.7294781860968085,0.0482079646298585,6.7294781860968085,0.0482079646298585,0.44912481784418123,0.02025851066594594,6.280353368252628,0.06631152377232633,0.61,0.01543172505386673,0.0,0.0,0.32859470405586844,0.006433679484616373,0.00044027332881029223,0.00010733771064627195,0,0,0.0
24,7.244690672609543,0.055680535658835004,7.244690672609543,0.055680535658835004,0.43116433375214236,0.019672369604791625,6.8135263388574,0.07361898851954624,0.616,0.01538768276189696,0.0,0.0,0.33412135908993024,0.006422101337656768,0.0004417981998131516,0.00016048641811125837,0,0,0.0
26,7.782046193592439,0.06383257142802817,7.782046193592439,0.06383257142802817,0.3998637633791225,0.01947330091526381,7.382182430213318,0.08140100212592132,0.651,0.015080663991563052,0.0,0.0,0.346326994196812,0.006305752796445285,0.00029303062149567936,9.908573092815867e-05,0,0,0.0
28,7.9859347555177385,0.07336024352792354,7.9859347555177385,0.07336024352792354,0.4770951673214757,0.02183050110138929,7.508839588196262,0.09298898463826077,0.608,0.01544585946377134,0.0,0.0,0.32744877302994824,0.006551842724379856,0.0006758114048306648,0.0001978629986826854,0,0,0.0
