seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,policy,run_idx
2062,10000,7200,0.72,2800,0.47285714285714286,1400,0,76,1324,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(6), np.int32(5), np.int32(7), np.int32(8), np.int32(9)]",topk,38
2063,10000,7241,0.7241,2759,0.4342152953968829,1379,1,181,1198,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,39
2064,10000,7324,0.7324,2676,0.5,1338,0,0,1338,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(10)]",topk,40
2065,10000,7297,0.7297,2703,0.4184239733629301,1351,1,220,1131,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,41
2066,10000,7311,0.7311,2689,0.37634808478988474,1344,1,332,1012,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(9), np.int32(8)]",topk,42
2067,10000,7319,0.7319,2681,0.4998135024244685,1340,1,0,1340,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(9), np.int32(7)]",topk,43
2068,10000,7320,0.732,2680,0.5,1340,0,0,1340,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(6), np.int32(5), np.int32(8), np.int32(9), np.int32(7)]",topk,44
2069,10000,7333,0.7333,2667,0.49981252343457067,1333,1,0,1333,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",topk,45
2070,10000,7297,0.7297,2703,0.45763965963743986,1351,1,114,1237,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",topk,46
2071,10000,7239,0.7239,2761,0.4998189061934082,1380,1,0,1380,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(5), np.int32(4), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,47
2072,10000,7223,0.7223,2777,0.325891249549874,1388,1,483,905,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,48
2073,10000,7287,0.7287,2713,0.4998157021747143,1356,1,0,1356,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,49
2074,10000,7281,0.7281,2719,0.49981610886355277,1359,1,0,1359,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,50
