seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,noma_success_rate,avg_ber,avg_ber_weak,avg_ber_strong,cumulative_reward,policy,total_transmissions,outages,q_table_size,final_epsilon,cache_contents_count
2037,10000,6070,0.607,3930.0,0.33155216284987277,1965.0,0.0,662.0,1303.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2038,10000,6124,0.6124,3876.0,0.4840041279669763,1938.0,0.0,62.0,1876.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2039,10000,6023,0.6023,3977.0,0.4998742770932864,1988.0,1.0,0.0,1988.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2040,10000,6100,0.61,3900.0,0.3792307692307692,1950.0,0.0,471.0,1479.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2041,10000,6113,0.6113,3887.0,0.49987136609210187,1943.0,1.0,0.0,1943.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2042,10000,6046,0.6046,3954.0,0.5,1977.0,0.0,0.0,1977.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2043,10000,5994,0.5994,4006.0,0.45032451323015477,2003.0,0.0,199.0,1804.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2044,10000,6119,0.6119,3881.0,0.34784849265653184,1940.0,1.0,590.0,1350.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2025,10000,6620,0.662,3380.0,0.5,1690.0,0.0,0.0,1690.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2026,10000,6652,0.6652,3348.0,0.5,1674.0,0.0,0.0,1674.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2027,10000,6678,0.6678,3322.0,0.5,1661.0,0.0,0.0,1661.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2028,10000,6693,0.6693,3307.0,0.43725430904142726,1653.0,1.0,207.0,1446.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2029,10000,6619,0.6619,3381.0,0.49985211475894703,1690.0,1.0,0.0,1690.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2030,10000,6688,0.6688,3312.0,0.5,1656.0,0.0,0.0,1656.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2031,10000,6637,0.6637,3363.0,0.4998513232233125,1681.0,1.0,0.0,1681.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2032,10000,6632,0.6632,3368.0,0.5,1684.0,0.0,0.0,1684.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2033,10000,6685,0.6685,3315.0,0.49984917043740573,1657.0,1.0,0.0,1657.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2034,10000,6611,0.6611,3389.0,0.4998524638536441,1694.0,1.0,0.0,1694.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2035,10000,6630,0.663,3370.0,0.5,1685.0,0.0,0.0,1685.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2036,10000,6511,0.6511,3489.0,0.4998566924620235,1744.0,1.0,0.0,1744.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2037,10000,6656,0.6656,3344.0,0.33343301435406697,1672.0,0.0,557.0,1115.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2038,10000,6704,0.6704,3296.0,0.4993932038834951,1648.0,0.0,2.0,1646.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2039,10000,6587,0.6587,3413.0,0.49985350131848816,1706.0,1.0,0.0,1706.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2040,10000,6617,0.6617,3383.0,0.37924918711203076,1691.0,1.0,408.0,1283.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2041,10000,6716,0.6716,3284.0,0.5,1642.0,0.0,0.0,1642.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2042,10000,6602,0.6602,3398.0,0.5,1699.0,0.0,0.0,1699.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2043,10000,6541,0.6541,3459.0,0.4556230124313385,1729.0,1.0,153.0,1576.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2044,10000,6702,0.6702,3298.0,0.34232868405093997,1649.0,0.0,520.0,1129.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lfu,,,,,
2025,10000,5579,0.5579,4421.0,0.49988690341551684,2210.0,1.0,0.0,2210.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2026,10000,5559,0.5559,4441.0,0.4998874127448773,2220.0,1.0,0.0,2220.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2027,10000,5593,0.5593,4407.0,0.49988654413433176,2203.0,1.0,0.0,2203.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2028,10000,5687,0.5687,4313.0,0.4256897750985393,2156.0,1.0,320.0,1836.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2029,10000,5527,0.5527,4473.0,0.4998882181980773,2236.0,1.0,0.0,2236.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2030,10000,5666,0.5666,4334.0,0.5,2167.0,0.0,0.0,2167.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2031,10000,5548,0.5548,4452.0,0.49573225516621744,2226.0,0.0,19.0,2207.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2032,10000,5538,0.5538,4462.0,0.49282832810398924,2231.0,0.0,32.0,2199.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2033,10000,5602,0.5602,4398.0,0.5,2199.0,0.0,0.0,2199.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2034,10000,5554,0.5554,4446.0,0.5,2223.0,0.0,0.0,2223.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2035,10000,5603,0.5603,4397.0,0.4998862861041619,2198.0,1.0,0.0,2198.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2036,10000,5494,0.5494,4506.0,0.5,2253.0,0.0,0.0,2253.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2037,10000,5533,0.5533,4467.0,0.3319901499888068,2233.0,1.0,750.0,1483.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2038,10000,5637,0.5637,4363.0,0.47192298876919553,2181.0,1.0,122.0,2059.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2039,10000,5554,0.5554,4446.0,0.5,2223.0,0.0,0.0,2223.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
