snr_db,pa_method,sum_rate_mean,sum_rate_std,outage_weak_mean,outage_weak_std,outage_strong_mean,outage_strong_std,ber_weak_mean,ber_weak_std,ber_strong_mean,ber_strong_std,cache_hit_weak_mean,cache_hit_weak_std,cache_hit_strong_mean,cache_hit_strong_std,energy_mean,energy_std,cic_opportunity_mean,cic_opportunity_std,cic_benefit_mean,cic_benefit_std,sic_success_mean,sic_success_std,outage_prob,cache_hit_rate,cic_benefit_rate,energy_efficiency,label
12,closedform,13.126777620543404,5.839181478740217,0.096,0.29488627609921647,0.02,0.14014021035061358,0.06278407371883163,0.1136027823713097,0.014222870088389171,0.057901061053338795,0.554,0.49757326929471735,0.578,0.49437314815758193,1.36,0.9338866572433479,0.492,0.5004366830554041,0.448,0.4977866844003892,0.986,0.11760809209681664,0.058,0.5660000000000001,0.910569105691057,9.65204236804662,Standard CIC
14,closedform,13.144918789162332,5.940584722517887,0.07,0.2554025468194154,0.028,0.16513794561567105,0.053684417873550626,0.10495192673251544,0.012779098007275691,0.05464783161895506,0.538,0.4990532118085534,0.554,0.49757326929471735,1.376,0.927547674989678,0.468,0.4994746739323223,0.444,0.49735170396297,0.992,0.08917344788453135,0.049,0.546,0.9487179487179487,9.552993306077276,Standard CIC
16,closedform,13.232591970546961,5.728515984704019,0.056,0.2301519929954106,0.026,0.15929453694021647,0.05102944506321224,0.09698651261221063,0.011458901414975969,0.04993981067837346,0.5,0.5005007512521914,0.568,0.4958505172639653,1.412,0.9120963982383433,0.48,0.5001001903626928,0.46,0.4988965780511852,0.992,0.08917344788453134,0.041,0.534,0.9583333333333334,9.37152405846102,Standard CIC
18,closedform,14.164992084894875,5.448733920403839,0.03,0.17075806462145948,0.022,0.14683023611120752,0.03624358464340662,0.08276248916956166,0.008266381360513962,0.043234272692825135,0.566,0.4961212276703046,0.546,0.4983781310642012,1.392,0.9208865642022673,0.504,0.5004847349718868,0.492,0.5004366830554041,1.0,0.0,0.026,0.556,0.9761904761904762,10.176000060987697,Standard CIC
20,closedform,14.163781800807744,5.538546440633989,0.038,0.19138771777999253,0.032,0.1761762644407714,0.04389946168931027,0.09159188835172187,0.009589818087386242,0.048438103098700315,0.54,0.4988965780511852,0.538,0.4990532118085534,1.416,0.9102753442804049,0.494,0.5004647139007099,0.468,0.4994746739323223,0.998,0.044721359549995794,0.035,0.539,0.9473684210526316,10.002670763282305,Standard CIC
22,closedform,15.024391004137504,5.2447699463005995,0.014,0.11760809209681665,0.014,0.11760809209681664,0.033465735939653754,0.0760474368683925,0.004264049802556848,0.03170944425030353,0.576,0.49468517953715513,0.582,0.49372414064344494,1.332,0.9442240826395357,0.49,0.5004006410899234,0.48,0.5001001903626928,1.0,0.0,0.014,0.579,0.9795918367346939,11.279572825929057,Standard CIC
24,closedform,14.594788264562158,5.572161891149778,0.014,0.11760809209681664,0.022,0.14683023611120752,0.03495010319912237,0.07590474917674615,0.006184620919816373,0.039212465426213934,0.522,0.5000160318071094,0.536,0.49920176763471025,1.444,0.8969241583834076,0.502,0.5004967472301652,0.496,0.5004847349718868,1.0,0.0,0.018,0.529,0.9880478087649402,10.107194089031966,Standard CIC
26,closedform,15.357087360447188,5.374829926628189,0.002,0.044721359549995794,0.044,0.20530050314888754,0.02446638035502968,0.06288369118634435,0.01173623926070103,0.0544851899650762,0.55,0.4979919597583559,0.554,0.49757326929471735,1.408,0.9138962812188545,0.512,0.5003565862730837,0.512,0.5003565862730837,0.998,0.044721359549995794,0.023,0.552,1.0,10.907022273044879,Standard CIC
28,closedform,15.179204755740257,5.7356466427774055,0.014,0.11760809209681664,0.022,0.14683023611120752,0.033343748201049836,0.07381979772564722,0.006101489720151504,0.039168453727176436,0.522,0.5000160318071094,0.506,0.5004647139007099,1.476,0.880326046357707,0.504,0.5004847349718868,0.502,0.5004967472301652,1.0,0.0,0.018,0.514,0.996031746031746,10.284014062154645,Standard CIC
30,closedform,16.304276169877916,5.19810795597048,0.014,0.11760809209681665,0.01,0.09959839195167117,0.026253983562398716,0.06923588889613962,0.0030077460592597143,0.026913989314879875,0.566,0.49612122767030453,0.612,0.48778259883625913,1.312,0.9510336113196628,0.49,0.5004006410899234,0.484,0.5002444292323062,1.0,0.0,0.012,0.589,0.9877551020408163,12.42703976362646,Standard CIC
